"distance from shooter to hub", "top roller speed", "bottom roller speed", "time recorded"
"209.38620426540177","304.1592653589793","314.63124087094525","2026-03-15T15:56:45.299383015-04:00"
"154.76278628624434","262.2713633111154","272.7433388230814","2026-03-15T16:01:08.063375001-04:00"
"129.11171730047147","248.94540616517494","259.4173816771409","2026-03-15T16:08:25.621807166-04:00"
"107.08246352196983","230.85543677521747","241.32741228718345","2026-03-15T16:15:17.919182922-04:00"
"179.14689582623268","277.9793265790644","288.45130209103036","2026-03-15T16:23:36.776154701-04:00"
"251.62250078738063","330.3392041388942","340.8111796508602","2026-03-15T16:32:56.6d35102971-04:00"
"73.82427972866375","212.529479629277","223.00145514124299","2026-03-15T16:37:29.113853827-04:00"
